Id,Nombre,Género,Edad,Promedio_Notas,Asistencia_Clases_pct,TP_Entregados_pct,Trabaja,Tipo_Educacion,Año_Cursado,Materias_Aprobadas_Promedio,Demora_Traslado_min,Nivel_Asistencia,Regular,Indice_Compromiso,Categoria_Riesgo
53,Sebastián Vega,Masculino,24,7.99,70.5,52.9,No,Pública,4,5,57,Baja,No,6.17,Sin riesgo
54,Verónica Medina,Femenino,18,6.99,87.4,98.6,Sí,Pública,2,3,43,Alta,Sí,9.3,Sin riesgo
55,Camila Flores,Femenino,21,8.46,55.7,43.1,Sí,Privada,4,1,57,Baja,No,4.94,Sin riesgo
56,Clara Muñoz,Femenino,26,5.96,62.4,61.1,No,Privada,1,1,90,Baja,No,6.18,Alto riesgo
57,Valentín Vega,Masculino,29,0.0,90.4,65.7,Sí,Pública,3,6,103,Alta,No,7.81,Sin riesgo
58,María Molina,Femenino,19,4.51,88.1,89.5,No,Pública,3,4,115,Alta,Sí,8.88,Sin riesgo
59,Nicolás Suárez,Masculino,27,8.84,69.3,86.0,No,Pública,3,2,96,Baja,No,7.76,Sin riesgo
60,César Medina,Masculino,26,9.17,97.7,62.5,No,Privada,4,2,14,Alta,No,8.01,Sin riesgo
61,Brenda Medina,Femenino,27,8.9,95.5,73.9,No,Privada,4,5,84,Alta,Sí,8.47,Sin riesgo
62,Eduardo Gómez,Masculino,22,7.08,98.1,90.1,Sí,Pública,4,1,117,Alta,Sí,9.41,Sin riesgo
63,Pablo Molina,Masculino,19,6.63,71.4,41.1,No,Privada,1,3,91,Baja,No,5.62,Riesgo moderado
64,Rodrigo Rivera,Masculino,21,9.98,59.9,88.1,No,Privada,5,4,87,Baja,No,7.4,Sin riesgo
65,Agustina Rodríguez,Femenino,24,5.38,81.3,96.8,Sí,Pública,4,2,69,Alta,Sí,8.9,Sin riesgo
66,Diana Navarro,Femenino,29,7.28,55.6,41.9,Sí,Pública,4,0,5,Baja,No,4.88,Sin riesgo
67,Elena Martínez,Femenino,24,8.02,56.3,42.7,No,Pública,3,1,57,Baja,No,4.95,Sin riesgo
68,Damián Vargas,Masculino,29,8.21,89.3,60.7,Sí,Privada,6,5,50,Alta,No,7.5,Sin riesgo
69,Carlos Cabrera,Masculino,30,5.22,50.9,45.3,No,Pública,2,3,30,Baja,No,4.81,Alto riesgo
70,Brenda López,Femenino,25,7.92,74.1,68.8,No,Pública,2,5,102,Baja,No,7.14,Sin riesgo
71,Eduardo Aguilar,Masculino,20,8.91,66.6,83.7,No,Pública,1,3,6,Baja,No,7.52,Sin riesgo
72,Martina Pérez,Femenino,18,4.3,87.0,74.0,No,Privada,2,6,32,Alta,Sí,8.05,Sin riesgo
73,María Ramos,Femenino,21,9.47,65.6,51.8,No,Pública,5,5,88,Baja,No,5.87,Sin riesgo
74,Daniela Suárez,Femenino,19,4.18,91.3,79.3,No,Pública,3,3,110,Alta,Sí,8.53,Sin riesgo
75,Tomás Flores,Masculino,25,6.14,79.7,81.1,No,Pública,1,2,115,Alta,Sí,8.04,Riesgo moderado
76,Sofía Medina,Femenino,21,0.0,89.7,95.9,Sí,Pública,2,4,31,Alta,Sí,9.28,Sin riesgo
77,Luciana Vega,Femenino,19,4.46,99.5,48.8,No,Privada,2,4,32,Alta,No,7.42,Sin riesgo
78,Camila Ramírez,Femenino,23,9.47,84.0,81.5,No,Privada,6,3,35,Alta,Sí,8.28,Sin riesgo
79,Carlos Rivera,Masculino,23,6.13,99.2,94.7,Sí,Privada,1,5,51,Alta,Sí,9.7,Sin riesgo
80,Rafael Castro,Masculino,27,6.55,51.4,70.1,No,Privada,1,1,11,Baja,No,6.08,Riesgo moderado
81,Rafael Ramírez,Masculino,24,5.29,66.9,61.7,No,Pública,3,2,76,Baja,No,6.43,Alto riesgo
82,Carlos Ortega,Masculino,23,7.58,55.4,50.2,No,Pública,1,4,100,Baja,No,5.28,Sin riesgo
83,Hernán López,Masculino,30,7.57,63.1,92.0,Sí,Privada,2,1,79,Baja,No,7.76,Sin riesgo
84,César Rivera,Masculino,19,6.23,91.9,63.7,No,Pública,3,3,52,Alta,No,7.78,Sin riesgo
85,Nicolás Ramírez,Masculino,27,6.0,51.6,95.5,No,Privada,3,6,30,Baja,No,7.36,Riesgo moderado
86,Sofía Álvarez,Femenino,29,9.31,76.0,41.9,No,Privada,5,4,59,Alta,No,5.9,Sin riesgo
87,Pablo González,Masculino,19,6.3,78.4,62.6,No,Privada,6,6,93,Alta,No,7.05,Riesgo moderado
88,Elena Jiménez,Femenino,27,6.96,78.1,74.4,No,Pública,1,4,11,Alta,Sí,7.62,Riesgo moderado
89,Aldana Morales,Femenino,21,5.7,73.8,41.6,Sí,Pública,1,4,88,Baja,No,5.77,Riesgo moderado
90,Diego Rodríguez,Masculino,25,8.72,89.5,55.8,No,Pública,5,4,109,Alta,No,7.26,Sin riesgo
91,Jimena Morales,Femenino,24,6.38,56.7,82.6,Sí,Privada,3,1,61,Baja,No,6.97,Riesgo moderado
92,Luciana Ramos,Femenino,29,7.08,65.5,80.7,Sí,Privada,3,3,119,Baja,No,7.31,Sin riesgo
93,Sebastián Medina,Masculino,26,5.52,80.8,61.2,Sí,Pública,5,2,62,Alta,No,7.1,Sin riesgo
94,Andrés Díaz,Masculino,25,9.93,84.5,88.5,No,Pública,2,6,98,Alta,Sí,8.65,Sin riesgo
95,Aldana Ramos,Femenino,24,5.75,70.2,54.2,No,Pública,3,2,5,Baja,No,6.22,Riesgo moderado
96,Hernán Sánchez,Masculino,30,8.62,93.8,67.7,Sí,Privada,4,1,86,Alta,No,8.07,Sin riesgo
97,Pablo Muñoz,Masculino,19,6.56,70.8,68.4,Sí,Pública,6,4,76,Baja,No,6.96,Riesgo moderado
98,Martín Pérez,Masculino,22,5.24,70.1,60.4,Sí,Privada,2,3,33,Baja,No,6.52,Riesgo moderado
99,Luciana Ramírez,Femenino,25,0.0,51.8,97.3,No,Pública,3,0,108,Baja,No,7.46,Alto riesgo
100,Matías Jiménez,Masculino,18,6.0,77.6,81.8,No,Privada,2,1,26,Alta,Sí,7.97,Riesgo moderado
101,Andrés Medina,Masculino,26,9.19,70.6,72.4,No,Pública,1,5,100,Baja,No,7.15,Sin riesgo
102,Carlos Suárez,Masculino,29,9.49,55.7,70.6,No,Pública,2,3,44,Baja,No,6.32,Sin riesgo
103,Felipe Morales,Masculino,29,0.0,65.3,49.6,No,Privada,5,1,66,Baja,No,5.74,Alto riesgo
104,Luisa Sánchez,Femenino,29,4.21,89.1,62.3,Sí,Privada,3,3,18,Alta,No,7.57,Sin riesgo
105,Diana Martínez,Femenino,30,8.72,68.3,80.4,Sí,Privada,2,2,6,Baja,No,7.44,Sin riesgo
106,Marcos García,Masculino,26,6.47,62.1,95.5,Sí,Privada,4,1,39,Baja,No,7.88,Riesgo moderado
107,Florencia Suárez,Femenino,30,9.24,67.1,89.0,No,Privada,1,6,75,Baja,No,7.8,Sin riesgo
108,Gabriela Morales,Femenino,30,7.83,59.8,58.0,No,Privada,1,2,71,Baja,No,5.89,Sin riesgo
109,Carolina Sánchez,Femenino,18,9.0,94.8,66.0,Sí,Pública,2,0,83,Alta,No,8.04,Sin riesgo
110,Daniela Martínez,Femenino,26,7.0,55.3,45.0,Sí,Privada,5,6,111,Baja,No,5.01,Sin riesgo
111,Valentín Rivera,Masculino,24,7.21,85.3,46.1,No,Privada,1,5,102,Alta,No,6.57,Sin riesgo
112,Andrés Vargas,Masculino,26,4.87,15.6,68.2,Sí,Pública,2,2,26,Baja,No,4.19,Alto riesgo
113,María Suárez,Femenino,25,8.7,93.5,71.8,Sí,Privada,2,2,22,Alta,Sí,8.26,Sin riesgo
114,Andrés Romero,Masculino,18,6.52,56.3,55.8,No,Pública,1,5,50,Baja,No,5.6,Riesgo moderado
115,César Pérez,Masculino,29,7.0,83.9,78.6,No,Pública,2,2,86,Alta,Sí,8.12,Sin riesgo
116,Rodrigo López,Masculino,25,8.71,33.6,82.2,No,Pública,2,3,67,Baja,No,5.79,Sin riesgo
117,Marcos Rodríguez,Masculino,25,7.59,74.0,48.8,No,Privada,6,3,102,Baja,No,6.14,Sin riesgo
118,Rafael Herrera,Masculino,28,5.21,74.6,85.5,No,Pública,4,2,40,Baja,No,8.0,Riesgo moderado
119,Rodrigo López,Masculino,20,7.54,86.1,52.3,Sí,Privada,2,4,50,Alta,No,6.92,Sin riesgo
120,Sofía Vargas,Femenino,18,6.45,96.9,72.7,No,Pública,6,3,107,Alta,Sí,8.48,Sin riesgo
121,Emilia Torres,Femenino,25,0.0,54.6,88.3,No,Privada,6,0,115,Baja,No,7.14,Alto riesgo
122,Sebastián Ortega,Masculino,20,4.17,51.0,72.2,No,Pública,2,5,106,Baja,No,6.16,Alto riesgo
123,Elena Torres,Femenino,20,5.26,90.3,94.5,No,Privada,5,1,41,Alta,Sí,9.24,Sin riesgo
124,Carolina Aguilar,Femenino,18,5.69,55.4,43.5,No,Pública,1,3,120,Baja,No,4.94,Alto riesgo
125,Luciana Rivera,Femenino,28,8.28,99.3,75.3,No,Pública,6,3,22,Alta,Sí,8.73,Sin riesgo
126,Alejandro Muñoz,Masculino,22,4.07,81.0,73.7,Sí,Privada,6,4,47,Alta,Sí,7.74,Sin riesgo
127,Carlos Castro,Masculino,27,6.45,82.5,79.6,Sí,Privada,5,2,108,Alta,Sí,8.1,Sin riesgo
128,Nicolás Torres,Masculino,24,9.54,59.9,90.0,No,Privada,3,4,33,Baja,No,7.5,Sin riesgo
129,Emilio Gómez,Masculino,27,4.67,62.0,83.6,No,Privada,5,1,80,Baja,No,7.28,Alto riesgo
130,Damián Ramírez,Masculino,26,7.1,83.0,87.4,No,Privada,3,4,22,Alta,Sí,8.52,Sin riesgo
131,Gabriela Pérez,Femenino,29,8.72,95.5,57.3,No,Pública,3,5,99,Alta,No,7.64,Sin riesgo
132,Brenda Castro,Femenino,24,9.66,99.1,63.2,No,Pública,5,5,19,Alta,No,8.12,Sin riesgo
133,Paula Jiménez,Femenino,26,8.48,59.9,77.6,No,Pública,4,3,63,Baja,No,6.88,Sin riesgo
134,Sebastián Navarro,Masculino,25,8.32,56.7,73.2,No,Pública,5,2,108,Baja,No,6.5,Sin riesgo
135,Emilia Aguilar,Femenino,29,8.96,52.8,97.7,Sí,Pública,6,1,98,Baja,No,7.52,Sin riesgo
136,Damián González,Masculino,19,6.68,93.4,51.2,No,Pública,1,2,104,Alta,No,7.23,Sin riesgo
137,Camila Vega,Femenino,18,8.84,64.7,100.0,No,Privada,5,3,32,Baja,No,8.24,Sin riesgo
138,Valentín Castro,Masculino,24,4.05,50.1,74.4,Sí,Pública,4,1,57,Baja,No,6.22,Alto riesgo
139,Ignacio Flores,Masculino,24,9.55,61.2,92.1,No,Pública,5,6,19,Baja,No,7.67,Sin riesgo
140,Tomás Rivera,Masculino,25,6.66,67.0,95.8,No,Pública,4,5,47,Baja,No,8.14,Riesgo moderado
141,Sebastián Medina,Masculino,22,7.32,99.5,60.2,No,Pública,1,0,37,Alta,No,7.98,Sin riesgo
142,María Álvarez,Femenino,20,5.53,7.7,44.0,No,Pública,2,3,6,Baja,No,2.58,Alto riesgo
143,Diana Suárez,Femenino,29,8.46,60.2,65.3,Sí,Pública,4,5,63,Baja,No,6.28,Sin riesgo
144,Carlos Medina,Masculino,25,0.0,66.7,63.7,No,Pública,4,1,12,Baja,No,6.52,Alto riesgo
145,Brenda Torres,Femenino,23,9.24,66.5,99.2,No,Pública,6,3,116,Baja,No,8.28,Sin riesgo
146,Alejandro Rivera,Masculino,28,8.97,51.0,65.9,Sí,Privada,4,2,37,Baja,No,5.85,Sin riesgo
147,Santiago Torres,Masculino,20,5.3,56.8,58.3,No,Privada,1,1,39,Baja,No,5.76,Alto riesgo
148,Valentín Muñoz,Masculino,18,8.86,84.8,61.9,Sí,Pública,3,4,22,Alta,No,7.33,Sin riesgo
149,Martina García,Femenino,24,8.72,56.0,63.8,No,Pública,4,6,94,Baja,No,5.99,Sin riesgo
150,Carlos Vega,Masculino,22,7.79,61.5,89.3,No,Privada,1,2,116,Baja,No,7.54,Sin riesgo
151,Pablo Martínez,Masculino,20,6.24,67.5,44.9,No,Pública,6,3,25,Baja,No,5.62,Riesgo moderado
152,Natalia Castro,Femenino,18,5.63,87.9,59.0,No,Privada,6,2,68,Alta,No,7.35,Sin riesgo
153,Martín González,Masculino,22,5.39,79.1,98.0,No,Pública,2,5,32,Alta,Sí,8.86,Riesgo moderado
154,Javier Gómez,Masculino,18,5.91,84.4,49.2,Sí,Privada,4,5,88,Alta,No,6.68,Sin riesgo
155,Damián Gómez,Masculino,24,9.42,78.4,84.6,No,Privada,3,1,120,Alta,Sí,8.15,Sin riesgo
156,Sebastián Ramírez,Masculino,24,4.47,84.2,61.4,Sí,Privada,1,5,49,Alta,No,7.28,Sin riesgo
157,Lucas Molina,Masculino,28,8.97,50.1,74.9,Sí,Privada,2,1,24,Baja,No,6.25,Sin riesgo
158,Paula Cabrera,Femenino,26,6.09,96.5,46.0,No,Privada,3,1,8,Alta,No,7.12,Sin riesgo
159,Emilio Suárez,Masculino,27,7.13,55.5,58.4,No,Privada,2,4,40,Baja,No,5.7,Sin riesgo
160,César Pérez,Masculino,27,8.77,53.8,70.1,No,Privada,3,2,102,Baja,No,6.19,Sin riesgo
161,Damián Morales,Masculino,29,9.31,88.6,53.9,Sí,Privada,5,3,113,Alta,No,7.12,Sin riesgo
162,Felipe Cabrera,Masculino,30,6.07,71.8,72.5,No,Privada,5,4,81,Baja,No,7.22,Riesgo moderado
163,Aldana Suárez,Femenino,20,6.77,97.3,53.2,No,Pública,5,0,99,Alta,No,7.52,Sin riesgo
164,Aldana Aguilar,Femenino,24,6.49,73.4,100.0,Sí,Pública,2,2,56,Baja,No,8.67,Riesgo moderado
165,Ignacio Pérez,Masculino,18,4.08,93.7,94.3,No,Privada,5,3,43,Alta,Sí,9.4,Sin riesgo
166,Marcos Ramos,Masculino,24,5.78,90.5,45.1,Sí,Privada,1,2,75,Alta,No,6.78,Sin riesgo
167,César Álvarez,Masculino,30,6.76,99.0,53.0,No,Pública,1,0,85,Alta,No,7.6,Sin riesgo
168,Gabriel Navarro,Masculino,21,6.47,96.3,90.7,No,Privada,5,1,110,Alta,Sí,9.35,Sin riesgo
169,Jimena Flores,Femenino,22,8.33,94.9,77.9,No,Pública,3,5,16,Alta,Sí,8.64,Sin riesgo
170,Hernán García,Masculino,24,6.31,86.6,44.7,Sí,Privada,3,5,59,Alta,No,6.56,Sin riesgo
171,Marcos Rivera,Masculino,24,6.94,68.3,69.2,Sí,Privada,2,1,98,Baja,No,6.88,Riesgo moderado
172,Carla López,Femenino,30,6.58,55.3,52.6,Sí,Privada,3,1,52,Baja,No,5.4,Riesgo moderado
173,Jimena Medina,Femenino,28,8.44,84.4,100.0,Sí,Privada,4,4,102,Alta,Sí,9.22,Sin riesgo
174,Sofía Navarro,Femenino,30,9.18,98.9,96.4,Sí,Pública,3,6,90,Alta,Sí,9.76,Sin riesgo
175,Agustina Rodríguez,Femenino,21,7.19,86.3,85.7,Sí,Privada,1,2,89,Alta,Sí,8.6,Sin riesgo
176,Clara Vargas,Femenino,30,8.74,96.4,81.8,Sí,Pública,6,5,13,Alta,Sí,8.91,Sin riesgo
177,Ana Rodríguez,Femenino,24,5.78,90.2,54.3,No,Privada,3,3,16,Alta,No,7.22,Sin riesgo
178,Jimena Cabrera,Femenino,28,7.25,58.2,47.1,No,Pública,2,6,85,Baja,No,5.26,Sin riesgo
179,Laura Herrera,Femenino,20,6.07,62.5,39.8,Sí,Privada,3,1,84,Baja,No,5.12,Riesgo moderado
180,Marcos Vega,Masculino,23,6.49,67.1,40.4,No,Privada,2,6,73,Baja,No,5.38,Riesgo moderado
181,Ignacio Martínez,Masculino,29,8.39,58.4,63.3,Sí,Pública,4,3,87,Baja,No,6.08,Sin riesgo
182,Agustina Romero,Femenino,19,9.29,79.1,56.7,No,Privada,5,6,61,Alta,No,6.79,Sin riesgo
183,Lucas Morales,Masculino,27,4.73,98.8,74.2,No,Pública,4,3,32,Alta,Sí,8.65,Sin riesgo
184,Sebastián Suárez,Masculino,23,7.81,88.1,55.0,Sí,Pública,1,3,21,Alta,No,7.15,Sin riesgo
185,Paula Rivera,Femenino,26,7.49,71.2,58.7,Sí,Pública,6,5,26,Baja,No,6.5,Sin riesgo
186,Valentín Vega,Masculino,22,4.71,50.2,91.0,Sí,Privada,4,4,39,Baja,No,7.06,Alto riesgo
187,María Flores,Femenino,23,0.0,65.7,76.2,No,Pública,4,4,117,Baja,No,7.1,Alto riesgo
188,Isabel Díaz,Femenino,29,0.0,76.3,48.7,No,Pública,1,3,63,Alta,No,6.25,Riesgo moderado
189,Martina González,Femenino,29,5.0,66.2,83.6,Sí,Pública,1,5,83,Baja,No,7.49,Alto riesgo
190,Martín Aguilar,Masculino,29,5.46,55.6,52.4,No,Privada,5,6,23,Baja,No,5.4,Alto riesgo
191,Sofía Cabrera,Femenino,29,5.61,72.1,66.0,Sí,Pública,5,0,115,Baja,No,6.9,Riesgo moderado
192,Rodrigo Vargas,Masculino,20,6.01,62.7,78.8,Sí,Pública,3,4,54,Baja,No,7.08,Riesgo moderado
193,Julia Castro,No informado,28,8.5,95.5,56.3,Sí,Pública,2,5,30,Alta,No,7.59,Sin riesgo
194,Javier Flores,Masculino,27,7.43,83.5,63.0,No,Pública,1,4,112,Alta,No,7.32,Sin riesgo
195,Martín Jiménez,Masculino,24,9.92,51.1,84.0,No,Pública,4,5,64,Baja,No,6.76,Sin riesgo
196,Luciana Muñoz,Femenino,29,6.49,50.3,96.3,No,Privada,4,5,48,Baja,No,7.33,Riesgo moderado
197,Sofía Sánchez,Femenino,26,8.52,66.4,71.8,No,Pública,5,5,60,Baja,No,6.91,Sin riesgo
198,Aldana Vega,Femenino,24,9.23,83.0,40.6,Sí,Pública,2,4,103,Alta,No,6.18,Sin riesgo
199,Sebastián López,Masculino,18,0.0,86.5,60.3,No,Privada,1,6,47,Alta,No,7.34,Sin riesgo
200,María Aguilar,Femenino,18,6.47,72.7,63.9,No,Privada,5,5,27,Baja,No,6.83,Riesgo moderado
201,Beatriz Navarro,Femenino,26,8.52,84.2,60.4,No,Pública,2,5,78,Alta,No,7.23,Sin riesgo
202,Sebastián Flores,Masculino,28,5.22,68.0,66.2,No,Privada,1,1,26,Baja,No,6.71,Alto riesgo
203,Agustín Sánchez,Masculino,26,5.97,83.4,78.0,Sí,Privada,4,1,51,Alta,Sí,8.07,Sin riesgo
204,Alejandro Martínez,Masculino,21,7.28,52.0,100.0,Sí,Pública,4,3,59,Baja,No,7.6,Sin riesgo
205,Miguel Herrera,Masculino,30,7.45,69.5,56.4,Sí,Pública,5,4,15,Baja,No,6.3,Sin riesgo
206,Matías Morales,Masculino,26,4.13,89.5,70.5,No,Pública,2,2,59,Alta,Sí,8.0,Sin riesgo
207,Tomás Ortega,Masculino,20,9.67,90.2,58.9,No,Privada,4,1,30,Alta,No,7.46,Sin riesgo
208,Luisa Díaz,Femenino,24,8.18,85.8,99.5,No,Privada,1,2,5,Alta,Sí,9.26,Sin riesgo
209,Eduardo Medina,Masculino,23,6.97,60.2,65.9,No,Pública,5,5,120,Baja,No,6.31,Riesgo moderado
210,Damián Molina,Masculino,25,9.6,62.4,92.2,Sí,Pública,3,5,104,Baja,No,7.73,Sin riesgo
211,Víctor Morales,Masculino,28,6.63,99.8,93.8,No,Privada,2,5,66,Alta,Sí,9.68,Sin riesgo
212,Felipe Jiménez,Masculino,26,9.88,55.2,90.2,No,Pública,6,2,25,Baja,No,7.27,Sin riesgo
213,Ana Castro,No informado,22,7.07,59.0,42.8,No,Pública,2,2,12,Baja,No,5.09,Sin riesgo
214,Emilio Ramos,Masculino,18,4.69,56.5,96.9,No,Privada,5,2,24,Baja,No,7.67,Alto riesgo
215,Matías González,Masculino,20,8.59,66.4,47.7,No,Privada,6,2,49,Baja,No,5.7,Sin riesgo
216,Sofía Romero,Femenino,27,8.07,60.5,42.1,No,Privada,3,4,85,Baja,No,5.13,Sin riesgo
217,Verónica Vega,Femenino,29,8.64,74.9,64.9,No,Pública,4,2,83,Baja,No,6.99,Sin riesgo
218,Paula Navarro,Femenino,25,9.71,73.8,51.7,No,Privada,1,0,89,Baja,No,6.28,Sin riesgo
219,Brenda Suárez,Femenino,28,8.66,95.1,51.1,Sí,Pública,5,3,69,Alta,No,7.31,Sin riesgo
220,Diana Pérez,Femenino,23,7.67,51.7,57.3,No,Pública,1,1,64,Baja,No,5.45,Sin riesgo
221,Luciana Torres,Femenino,25,9.14,66.0,100.0,Sí,Pública,3,0,71,Baja,No,8.3,Sin riesgo
222,Bruno Medina,Masculino,26,8.04,79.8,81.1,No,Privada,6,3,99,Alta,Sí,8.04,Sin riesgo
223,Verónica Molina,Femenino,21,6.45,80.2,51.2,Sí,Pública,3,1,60,Alta,No,6.57,Sin riesgo
224,Romina Ramírez,Femenino,18,9.31,74.0,72.6,No,Pública,2,3,35,Baja,No,7.33,Sin riesgo
225,Luciana López,Femenino,18,5.33,90.8,99.2,No,Pública,1,2,89,Alta,Sí,9.5,Sin riesgo
